ID_CAMARA,LUGAR_INFR,AMBITO,TIPOVIA,VIA,NUMERO_PK,UTM_X,UTM_Y,LATITUD,LONGITUD
1,C Pedro Rico 213,Interior M-30,Calle,Pedro Rico,213,441555.75,4481256.59,40.47994183076341,-3.6895310758521607
2,Po Castellana 259 C1,Interior M-30,Paseo,Castellana,259,441861.02,4481195.27,40.47941086489958,-3.6859240932114874
3,Po Castellana 259 C2,Interior M-30,Paseo,Castellana,259,441861.02,4481195.27,40.47941086489958,-3.6859240932114874
4,Po Castellana 259 VS,Interior M-30,Paseo,Castellana,259,441861.02,4481195.27,40.47941086489958,-3.6859240932114874
5,C Mauricio Legendre - Verjas,Interior M-30,Calle,Mauricio Legendre,0,442067.7,4481296.23,40.48033479883309,-3.6834950702729086
6,Av Burgos - frente n38,Interior M-30,Avenida,Burgos,0,442723.26,4481206.71,40.47957384246728,-3.6757530895926385
7,Salida M30 Tunel Pio XII,Interior M-30,Avenida,Pio XII,0,442869.02,4480479.39,40.47303186908379,-3.6739680002508477
8,Av Burgos 8,Interior M-30,Avenida,Burgos,8,442718.17,4480485.98,40.47308084482291,-3.6757480392307236
9,Av Pio XII 100,Interior M-30,Avenida,Pio XII,100,442678.44,4480467.86,40.47291487098874,-3.6762150616001135
10,Av Pio XII - entrada tunel,Interior M-30,Avenida,Pio XII,0,442652.56,4480464.17,40.4728798433836,-3.6765200108183187
11,Av Burgos 9,Interior M-30,Avenida,Burgos,9,442689.21,4480302.05,40.47142192525233,-3.6760730368084515
12,Av Pio XII - frente n98,Interior M-30,Avenida,Pio XII,0,442743.37,4480400.55,40.472312991586726,-3.6754430654661676
13,Av Pio XII 77,Interior M-30,Avenida,Pio XII,77,442902.48,4479983.68,40.468568594232984,-3.673528684604072
14,Cta Sagrado Corazón 2 C1,Interior M-30,Cuesta,Sagrado Corazón,2,443049.74,4479742.81,40.46640883697833,-3.6717700821866037
15,Cta Sagrado Corazón 2 C2,Interior M-30,Cuesta,Sagrado Corazón,2,443049.74,4479742.81,40.46640883697833,-3.6717700821866037
16,C Costa Rica 17 C1,Interior M-30,Calle,Costa Rica,17,443095.1,4478873.41,40.45857998904331,-3.6711571066337143
17,C Costa Rica 17 C2,Interior M-30,Calle,Costa Rica,17,443095.1,4478873.41,40.45857998904331,-3.6711571066337143
18,Av Alfonso XIII - frente n7,Interior M-30,Avenida,Alfonso XIII,0,443314.85,4478970.08,40.459465856899286,-3.6685740959641904
19,C Federico Salmón 34,Interior M-30,Calle,Federico Salmón,34,443343.14,4478976.86,40.45952886366635,-3.6682410557495433
20,Av Alfonso XIII 113,Interior M-30,Calle,Alfonso XIII,113,443366.47,4478889.32,40.45874185233741,-3.667958096455122
21,Av Ramón y Cajal 81 C1,Interior M-30,Avenida,Av Ramón y Cajal,81,443522.52,4478195.9,40.452505811602116,-3.666056011422495
